tracking_id,shipping_date,source_country,source_city,destination_country,destination_city,distance,package_size,service_type,perishable,hazardous,committed_delivery_time,delivered_in_time,weight,delivery_time,shipping_price,delivery_penalty,hops
DIG45532410376724,1532217600000000,United States,Carbondale,United States,Xenia,1494,XXL,Ground,false,false,4320,false,766.32,8371,397.0046,12.9632,1
DIG45525683664584,1297123200000000,United States,Batavia,United States,Gilbert,1125,M,Ground,false,false,4320,false,66.07,10258,46.5475,19.0016,1
DIG45540393261620,1495238400000000,United States,Apex,United States,Twin Falls,325,M,Ground,false,false,4320,false,63.85,6446,44.7175,6.8032,1
DIG45539964607412,1543017600000000,United States,Columbus,United States,Cottonwood Heights,905,L,Ground,false,false,4320,false,211.69,7207,119.1595,9.2384,1
DIG45575248606772,1344902400000000,United States,Delaware,United States,Franklin,1911,L,Ground,false,false,4320,false,116.28,5673,72.3599,4.3296,1
DIG455306359802240,1467504000000000,United States,Prescott,United States,Jeffersontown,505,L,Ground,false,false,4320,false,125.3,8750,75.6045,14.176,1
DIG455477321655440,1351036800000000,United States,Springfield,United States,Huntsville,660,XL,Ground,false,false,4320,false,406.13,6398,216.159,6.6496,1
DIG45578954346392,1498176000000000,United States,Valrico,United States,Augusta,958,XL,Ground,false,false,4320,false,496.43,6553,261.5772,7.1456,1
DIG455145298381748,1545523200000000,United States,Bedford,United States,Benton,1421,E,Ground,false,false,4320,false,0.91,7419,14.2339,9.9168,1
DIG45574435483328,1544227200000000,United States,Sandusky,United States,Seaford,432,E,Ground,false,false,4320,false,0.43,6012,13.1038,5.4144000000000005,1
DIG45598332555560,1547942400000000,United States,Fort Lee,United States,Emporia,2647,C,Ground,false,false,4320,false,2689.09,8850,1359.4273,14.496,2
DIG45588133224512,1431475200000000,United States,Loma Linda,United States,Glendora,590,M,Ground,false,false,4320,false,67.93,9973,46.996,18.0896,1
DIG45576017545244,1317168000000000,United States,Bellaire,United States,Florence,1855,S,Ground,false,false,4320,false,24.72,7780,26.5295,11.072000000000001,1
DIG45571423507748,1333411200000000,United States,Los Banos,United States,Salmon Creek,2074,M,Ground,false,false,4320,false,93.74,6775,61.2366,7.8560000000000008,2
DIG455168141612408,1380931200000000,United States,Allendale,United States,Stevens Point,2110,M,Ground,false,false,4320,false,80.99,6321,54.894,6.4032,2
DIG45594537846200,1550361600000000,United States,Towson,United States,Wilmington,2758,L,Ground,false,false,4320,false,156.78,8823,93.3722,14.409600000000001,2
DIG45573384640736,1541548800000000,United States,Levittown,United States,Oak Park,678,E,Ground,false,false,4320,false,0.29,6235,13.2552,6.128,1
DIG455100946866392,1331942400000000,United States,Issaquah,United States,Chapel Hill,2816,M,Ground,false,false,4320,false,74.06,7094,52.0644,8.8768000000000011,2
DIG455164415279792,1442620800000000,United States,Bloomfield,United States,Easton,2901,L,Ground,false,false,4320,false,124.05,8949,77.1359,14.812800000000001,2
DIG455377220701340,1551052800000000,United States,Duncan,United States,Frisco,2254,XL,Ground,false,false,4320,false,285.45,7705,157.2536,10.832,2
DIG455152445750816,1265328000000000,United States,Quincy,United States,Moore,976,XL,Ground,false,false,4320,false,318.28,5779,172.5184,4.6688,1
DIG45599248244120,1490745600000000,United States,Maywood,United States,Enid,1990,S,Ground,false,false,4320,false,4.78,8688,16.681,13.9776,1
DIG455199654494384,1415836800000000,Japan,Gōtsuchō,Japan,Kawasaki,904,E,Ground,false,false,4320,false,0.9,9345,13.7636,16.080000000000002,1
DIG45561341136920,1540080000000000,Japan,Yoshida-kasugachō,Japan,Tokushima,630,S,Ground,false,false,4320,false,21.74,7158,23.937,9.0816,1
DIG455120134940228,1357516800000000,United States,Sycamore,United States,Westbrook,267,XL,Ground,false,false,4320,false,446.61,5964,236.0453,5.2608000000000006,1
DIG455123728318064,1541808000000000,United States,Prairieville,United States,Tupelo,1051,S,Ground,false,false,4320,false,1.97,9080,14.4309,15.232000000000001,1
DIG45522685484312,1499299200000000,United States,Webster Groves,United States,Town 'n' Country,2352,M,Ground,false,false,4320,false,37.63,10039,33.4318,18.300800000000002,2
DIG4557238538060,1267747200000000,United States,Middletown,United States,Naples,738,E,Ground,false,false,4320,false,0.22,8128,13.2742,12.1856,1
DIG455113760708204,1542758400000000,United States,Agawam,United States,Suitland,2516,XXL,Ground,false,false,4320,false,841.2,8232,435.3644,12.5184,2
DIG45514307133920,1495152000000000,United States,Amarillo,United States,Montebello,1816,M,Ground,false,false,4320,false,36.3,5184,32.2844,2.7648,1
DIG45582928394756,1264723200000000,United States,Kinston,United States,Salem,1249,M,Ground,false,false,4320,false,87.03,9839,57.1391,17.660800000000002,1
DIG455146401806456,1411689600000000,United States,Scarsdale,United States,Springfield,1797,XXL,Ground,false,false,4320,false,846.95,10179,437.5923,18.7488,1
DIG45539318627120,1525392000000000,United States,Lewiston,United States,Ottawa,95,M,Ground,false,false,4320,false,97.21,9563,61.1905,16.7776,1
DIG455165130236624,1526169600000000,United States,Four Corners,United States,Englewood,1456,L,Ground,false,false,4320,false,144.18,5249,85.9004,2.9728000000000003,1
DIG4557208548260,1279411200000000,United States,Elyria,United States,Glenvar Heights,813,L,Ground,false,false,4320,false,223.06,8748,124.7617,14.1696,1
DIG455148605656892,1356134400000000,United States,Fairland,United States,Benbrook,706,L,Ground,false,false,4320,false,237.42,6585,131.8454,7.248,1
DIG4553490012992,1538352000000000,United States,Mankato,United States,Irondequoit,980,E,Ground,false,false,4320,false,0.44,6168,13.602,5.9136000000000006,1
DIG4556967230336,1445299200000000,United States,Lynn Haven,United States,Dover,2494,E,Ground,false,false,4320,false,0.38,7516,14.9346,10.2272,2
DIG455134808349572,1494374400000000,United States,Dyersburg,United States,Keene,275,M,Ground,false,false,4320,false,95.48,4843,60.4875,1.6736,1
DIG45550211722208,1524182400000000,United States,Springdale,United States,Milford Mill,1525,L,Ground,false,false,4320,false,126.43,9836,77.0875,17.6512,1
DIG455137132759004,1353283200000000,United States,Foothill Farms,United States,Sun City Center,1653,M,Ground,false,false,4320,false,43.09,8763,35.5327,14.217600000000001,1
DIG455146636326692,1388016000000000,United States,Hesperia,United States,Newark,2248,E,Ground,false,false,4320,false,0.33,6375,14.6882,6.5760000000000005,2
DIG45562714269896,1535760000000000,United States,Decatur,United States,Dover,1381,E,Ground,false,false,4320,false,0.28,4992,13.8829,2.1504000000000003,1
DIG455162418958772,1507161600000000,United States,Langley Park,United States,Bixby,1751,M,Ground,false,false,4320,false,54.0,6762,41.0759,7.8144,1
DIG45548755017656,1361750400000000,United States,Bixby,United States,Lacey,1068,M,Ground,false,false,4320,false,41.5,6590,34.2112,7.264,1
DIG45526825876100,1361318400000000,United States,Port Washington,United States,Pikesville,950,M,Ground,false,false,4320,false,67.38,6271,47.045,6.2432,1
DIG45559838647940,1286236800000000,United States,Catonsville,United States,Minnetonka,2781,L,Ground,false,false,4320,false,189.71,5101,109.8579,2.4992,2
DIG45530738545340,1375401600000000,United States,Redlands,United States,Owensboro,325,S,Ground,false,false,4320,false,10.88,7796,18.2325,11.1232,1
DIG455183625346148,1318550400000000,United States,Perris,United States,Hillside,1825,M,Ground,false,false,4320,false,36.13,8547,32.2075,13.5264,1
DIG45539332422428,1354406400000000,United States,South Pasadena,United States,Portland,2217,L,Ground,false,false,4320,false,244.55,6307,136.7703,6.3584000000000005,2
DIG455165141832680,1386460800000000,United States,Woodbury,United States,Rochester Hills,548,S,Ground,false,false,4320,false,19.46,6080,22.7232,5.6320000000000006,1
DIG455144026814228,1531699200000000,United States,North Charleston,United States,Johnstown,1513,L,Ground,false,false,4320,false,113.42,6011,70.5717,5.4112,1
DIG45573994833200,1513468800000000,United States,Seattle,United States,Lemay,942,S,Ground,false,false,4320,false,7.93,5742,17.3128,4.5504,1
DIG45577354490528,1329609600000000,United States,Royal Oak,United States,Lynnwood,103,L,Ground,false,false,4320,false,155.76,8345,90.4727,12.88,1
DIG455102721462824,1440374400000000,United States,Garfield,United States,Westminster,2123,E,Ground,false,false,4320,false,0.67,5174,14.7457,2.7328,2
DIG455485462486616,1354147200000000,United States,Talladega,United States,Perris,2787,S,Ground,false,false,4320,false,2.21,8421,16.1133,13.1232,2
DIG45570352871888,1345507200000000,United States,Donna,United States,Georgetown,776,S,Ground,false,false,4320,false,21.29,8502,23.8434,13.3824,1
DIG45568543487288,1294531200000000,United States,Summit,United States,Oxford,441,S,Ground,false,false,4320,false,12.33,9946,19.0619,18.0032,1
DIG45512567325656,1454371200000000,United States,Albany,United States,Independence,2560,M,Ground,false,false,4320,false,89.61,6121,59.609,5.7632,2
DIG45583997431160,1548979200000000,United States,Doral,United States,New Bedford,669,M,Ground,false,false,4320,false,59.37,7399,42.7871,9.8528,1
DIG455175917567684,1390435200000000,United States,Fort Lee,United States,West Chicago,2632,S,Ground,false,false,4320,false,23.69,5914,26.7138,5.1008000000000004,2
DIG4554070215656,1296432000000000,United States,Casa de Oro-Mount Helix,United States,Riverbank,1826,S,Ground,false,false,4320,false,3.28,9712,15.7834,17.2544,1
DIG45596345431412,1286064000000000,United States,West Albany,United States,Apache Junction,471,S,Ground,false,false,4320,false,16.18,7331,21.0139,9.6352000000000011,1
DIG455110582988996,1383177600000000,United States,Santa Monica,United States,Marlborough,1149,L,Ground,false,false,4320,false,121.45,8182,74.2591,12.358400000000001,1
DIG455236266841952,1536019200000000,United States,Radcliff,United States,Newport,1336,L,Ground,false,false,4320,false,133.57,5110,80.4874,2.528,1
DIG455243402215100,1527379200000000,United States,Mansfield,United States,Monrovia,596,E,Ground,false,false,4320,false,0.23,10070,13.1514,18.400000000000002,1
DIG4557280123916,1358380800000000,United States,San Rafael,United States,Palm Desert,68,S,Ground,false,false,4320,false,14.06,9565,19.5912,16.784000000000002,1
DIG45525816019568,1385078400000000,United States,Peoria,United States,Minnetonka,2121,XL,Ground,false,false,4320,false,456.46,7394,242.6389,9.8368,2
DIG455263862856116,1344816000000000,United States,Irondequoit,United States,DeBary,1558,E,Ground,false,false,4320,false,0.35,7618,14.0772,10.553600000000001,1
DIG45523052359532,1353974400000000,United States,Shirley,United States,Plainfield,2949,M,Ground,false,false,4320,false,88.76,8678,59.5341,13.9456,2
DIG455159997982184,1500681600000000,United States,Mountain Top,United States,Pampa,1212,E,Ground,false,false,4320,false,0.27,10261,13.7258,19.011200000000002,1
DIG4554163783832,1386979200000000,United States,Berea,United States,Tuscaloosa,137,L,Ground,false,false,4320,false,137.68,5313,81.4633,3.1776,1
DIG455133730716092,1343952000000000,United States,Hanover,United States,La Grange,529,S,Ground,false,false,4320,false,21.29,8703,23.6211,14.0256,1
DIG455138745010652,1425859200000000,United States,Poplar Bluff,United States,Marshalltown,120,S,Ground,false,false,4320,false,1.48,6069,13.348,5.5968,1
DIG455177325288896,1310774400000000,United States,Stillwater,United States,Madison,907,L,Ground,false,false,4320,false,162.61,8892,94.6213,14.6304,1
DIG4555610291852,1347235200000000,United States,Greenville,United States,Holt,894,S,Ground,false,false,4320,false,22.89,7852,24.7496,11.3024,1
DIG455121684413228,1387065600000000,United States,Erie,United States,DeSoto,869,S,Ground,false,false,4320,false,10.3,7348,18.4321,9.6896,1
DIG455146236062828,1294444800000000,United States,Benicia,United States,Sterling,1392,XL,Ground,false,false,4320,false,388.15,7274,207.8278,9.4528,1
DIG45575499521432,1293148800000000,United States,Federal Way,United States,North Bergen,2143,E,Ground,false,false,4320,false,0.36,6262,14.6087,6.2144,2
DIG455110345269848,1544918400000000,United States,Ithaca,United States,Methuen,708,E,Ground,false,false,4320,false,0.92,8188,13.5972,12.377600000000001,1
DIG455184176758604,1351296000000000,United States,Warren,United States,Troy,825,S,Ground,false,false,4320,false,2.07,8071,14.2775,12.003200000000001,1
DIG455103753711740,1284076800000000,United States,Seal Beach,United States,Ironville,2318,E,Ground,false,false,4320,false,0.37,6200,14.7712,6.016,2
DIG45529111898588,1504656000000000,United States,South Vineland,United States,Rocky Mount,1597,M,Ground,false,false,4320,false,25.54,8092,26.7073,12.070400000000001,1
DIG45599631913628,1404259200000000,United States,Germantown,United States,West Memphis,357,M,Ground,false,false,4320,false,84.97,7152,55.3063,9.0624,1
DIG455174373292916,1338595200000000,United States,Anderson,United States,Spring Valley,324,C,Ground,false,false,4320,false,4756.33,7047,2390.9566,8.7264,1
DIG45593044754024,1498435200000000,United States,Erlanger,United States,Tamiami,1492,M,Ground,false,false,4320,false,32.98,5313,30.3328,3.1776,1
DIG45515770636160,1536364800000000,Brazil,Satuba,Brazil,Campo Grande,691,L,Ground,false,false,4320,false,221.98,8581,124.1119,13.635200000000001,1
DIG45510603393620,1514160000000000,Brazil,José Bonifácio,Brazil,Belo Jardim,1273,M,Ground,false,false,4320,false,82.32,6225,54.8057,6.096,1
DIG4557751563572,1531699200000000,Brazil,Quixeramobim,Brazil,Encruzilhada do Sul,26,M,Ground,false,false,4320,false,45.6,4827,35.3234,1.6224,1
DIG455489416741712,1349395200000000,Brazil,São José do Rio Pardo,Brazil,Tambaú,26,E,Ground,false,false,4320,false,0.49,6010,12.7684,5.408,1
DIG4551611052056,1399593600000000,Russia,Novosibirsk,Russia,Nazarovo,1490,S,Ground,false,false,4320,false,12.92,9841,20.301,17.6672,1
DIG45563363449100,1344988800000000,Mexico,Huejotzingo,Mexico,Xoxocotla,82,E,Ground,false,false,4320,false,0.11,8168,12.6288,12.313600000000001,1
DIG45519455782784,1383004800000000,Russia,Dubna,Russia,Aleysk,503,L,Ground,false,false,4320,false,245.96,9262,135.9327,15.814400000000001,1
DIG455146928627276,1542412800000000,Russia,Krasnoyarsk,Russia,Vladimir,357,XL,Ground,false,false,4320,false,391.88,7063,208.7613,8.7776,1
DIG455290779301412,1508716800000000,Russia,Volzhsk,Russia,Talitsa,794,M,Ground,false,false,4320,false,48.48,6321,37.4546,6.4032,1
DIG455172130455740,1321401600000000,Russia,Shelekhov,Russia,Yubileyny,1301,XL,Ground,false,false,4320,false,320.76,8351,174.0509,12.8992,1
DIG455376542531996,1304726400000000,Germany,Taunusstein,Germany,Stellingen,362,L,Ground,false,false,4320,false,206.37,5894,116.0108,5.0368,1
DIG455362890375308,1505952000000000,United Kingdom,Welwyn Garden City,United Kingdom,Louth,768,S,Ground,false,false,4320,false,18.63,6183,22.5062,5.9616000000000007,1
DIG45530161141724,1386115200000000,United Kingdom,Worksop,United Kingdom,Bredbury,385,XL,Ground,false,false,4320,false,338.01,5068,181.8515,2.3936,1
DIG4555172040908,1552089600000000,Germany,Nottuln,Germany,Lünen,275,M,Ground,false,false,4320,false,93.67,7707,59.5825,10.8384,1
DIG45535583097632,1408492800000000,Germany,Ennigerloh,Germany,Wertheim,292,M,Ground,false,false,4320,false,53.37,6983,39.4478,8.5216000000000012,1
DIG45587762350652,1333497600000000,Germany,Bendorf,Germany,Öhringen,733,M,Ground,false,false,4320,false,43.03,6123,34.6747,5.7696000000000005,1
DIG455111797375964,1421280000000000,Germany,Plauen,Germany,Bad Oldesloe,1313,S,Ground,false,false,4320,false,19.52,8368,23.4417,12.9536,1
DIG455382810999992,1347494400000000,Germany,Rummelsburg,Germany,Gera,547,XL,Ground,false,false,4320,false,418.95,8355,222.4673,12.912,1
DIG455119561135388,1357257600000000,United Kingdom,Bearsden,United Kingdom,Sheffield,398,M,Ground,false,false,4320,false,90.93,4997,58.3232,2.1664000000000003,1
DIG45527052399056,1500163200000000,China,Yantai,China,Jieyang,238,XXL,Ground,false,false,4320,false,773.7,5318,399.5642,3.1936,1
DIG45558060852596,1541030400000000,China,Xuanzhou,China,Zhangjiakou Shi Xuanhua Qu,566,S,Ground,false,false,4320,false,22.72,9084,24.3694,15.244800000000001,1
DIG45551832970796,1512864000000000,China,Quzhou,China,Lecheng,785,S,Ground,false,false,4320,false,12.95,9711,19.6815,17.2512,1
DIG455287358664824,1499472000000000,China,Yima,China,Yishui,761,S,Ground,false,false,4320,false,7.47,7095,16.9199,8.88,1
DIG455143976031500,1544140800000000,China,Hanchuan,China,Heyuan,1074,S,Ground,false,false,4320,false,15.95,6805,21.4416,7.952,1
DIG45523083548924,1444780800000000,China,Yibin,China,Fuding,901,M,Ground,false,false,4320,false,98.48,10061,62.5509,18.3712,1
DIG45537218741324,1498867200000000,China,Nenjiang,China,Xianyang,577,L,Ground,false,false,4320,false,162.59,9494,94.3143,16.5568,1
DIG455133209493368,1385510400000000,India,Cheyyar,India,Udumalaippettai,964,E,Ground,false,false,4320,false,0.69,5869,13.7126,4.9568,1
DIG45511662233492,1527292800000000,India,Tānda,India,Pallikondai,449,E,Ground,false,false,4320,false,0.27,9917,13.0391,17.9104,1
DIG455128746411332,1538352000000000,India,Bisauli,India,Rāhatgarh,2664,XL,Ground,false,false,4320,false,387.74,6306,208.7676,6.3552,2
DIG45519790269020,1330992000000000,India,Gummidipundi,India,Sehore,911,S,Ground,false,false,4320,false,18.41,10185,22.5249,18.768,1
DIG4559715095744,1305936000000000,India,Pārdi,India,Sitārganj,2001,E,Ground,false,false,4320,false,0.31,5013,14.4559,2.2176,2
DIG455186139091184,1396656000000000,India,Rājpīpla,India,Hāngal,1051,XL,Ground,false,false,4320,false,264.75,6717,145.8209,7.6704000000000008,1
DIG45553527994292,1404345600000000,India,Jāmnagar,India,Pulivendla,973,S,Ground,false,false,4320,false,4.56,8195,15.6557,12.4,1
DIG45558225396632,1506297600000000,India,Fatehābād,India,Gāndhīdhām,1914,XL,Ground,false,false,4320,false,425.49,5035,226.9676,2.2880000000000003,1
DIG45516237077516,1270857600000000,India,Zamānia,India,Moirāng,197,E,Ground,false,false,4320,false,0.77,8106,13.0623,12.1152,1
DIG45585988753880,1532563200000000,India,Warora,India,Srirāmpur,3169,XL,Ground,false,false,4320,false,420.84,4976,225.7721,2.0992,2
DIG45589002128984,1288742400000000,India,Sahaswān,India,Chāndur,2854,S,Ground,false,false,4320,false,18.27,9634,24.2036,17.0048,2
DIG455314152151940,1466380800000000,India,Siwāna,India,Gangānagar,2523,M,Ground,false,false,4320,false,40.49,7695,35.0157,10.8,2
DIG455117982472316,1372204800000000,India,Devgarh,India,Kodarmā,985,S,Ground,false,false,4320,false,7.67,9441,17.2215,16.3872,1
DIG455114082798656,1526083200000000,India,Mahendragarh,India,Chik Ballāpur,1089,S,Ground,false,false,4320,false,7.72,7970,17.3401,11.68,1
DIG455143573968248,1336089600000000,India,Bhadohi,India,Fort Gloster,1293,M,Ground,false,false,4320,false,68.89,4895,48.1087,1.84,1
DIG455272246404740,1346025600000000,India,Machilīpatnam,India,Rajapalaiyam,2891,S,Ground,false,false,4320,false,8.71,5259,19.4569,3.0048000000000004,2
DIG455162905393328,1508025600000000,India,Periyakulam,India,Dharmavaram,852,C,Ground,false,false,4320,false,2457.67,6638,1242.1018,7.4176,1
DIG45516456802784,1465084800000000,India,Morādābād,India,Allahābād,2683,C,Ground,false,false,4320,false,3825.42,9224,1927.6247,15.6928,2
DIG4558401742436,1446163200000000,India,Malpe,India,Farrukhābād,674,C,Ground,false,false,4320,false,2975.87,6943,1501.0416,8.3936000000000011,1
DIG45519001937144,1530057600000000,India,Binka,India,Sikandarpur,1877,M,Ground,false,false,4320,false,41.8,7543,35.0893,10.313600000000001,1
DIG455198572462400,1541808000000000,India,Pune,India,Arrah,142,E,Ground,false,false,4320,false,0.86,6101,13.0578,5.6992,1
DIG4558602474164,1546560000000000,India,Raxaul,India,Yādgīr,1135,L,Ground,false,false,4320,false,236.45,6015,131.7465,5.424,1
DIG455143686529964,1544486400000000,India,Gangāpur,India,Padmanābhapuram,3031,L,Ground,false,false,4320,false,141.64,6543,86.0479,7.1136,2
DIG455162664275336,1374710400000000,India,Baidyabāti,India,Rāmnagar,1242,M,Ground,false,false,4320,false,81.33,7414,54.2828,9.9008,1
DIG45534852346172,1516320000000000,India,Lādwa,India,Sirsāganj,2719,L,Ground,false,false,4320,false,205.73,8352,117.8121,12.9024,2
DIG455186928022856,1333497600000000,India,Anekal,India,Mundargi,2490,M,Ground,false,false,4320,false,45.79,5251,37.636,2.9792,2
DIG45560148742472,1307232000000000,India,Sihor,India,Anakāpalle,3155,M,Ground,false,false,4320,false,86.68,5033,58.6795,2.2816,2
DIG455128101230768,1355356800000000,Indonesia,Cirebon,Indonesia,Banyumas,1184,L,Ground,false,false,4320,false,182.71,7599,104.9206,10.4928,1
DIG455120498216672,1413504000000000,United States,Shirley,United States,Seaford,1111,E,Ground,false,false,4320,false,0.55,6972,13.7749,8.4864,1
DIG4554439889924,1543017600000000,United States,Cliffside Park,United States,Sedalia,1421,L,Ground,false,false,4320,false,170.17,6303,98.8639,6.3456,1
DIG455237830710056,1294704000000000,United States,Raymore,United States,Detroit,1341,M,Ground,false,false,4320,false,75.1,5179,51.2569,2.7488,1
DIG45513595575932,1409097600000000,United States,Texarkana,United States,Las Vegas,879,M,Ground,false,false,4320,false,54.08,5065,40.3311,2.384,1
DIG45529984801700,1357344000000000,United States,Woodstock,United States,Myrtle Beach,2851,M,Ground,false,false,4320,false,25.99,5601,28.0609,4.0992000000000006,2
DIG455411672983580,1455753600000000,United States,Grandville,United States,Hawthorne,2255,XL,Ground,false,false,4320,false,359.46,6366,194.2595,6.5472,2
DIG45521181595808,1545091200000000,United States,Attleboro,United States,Ramsey,1520,XL,Ground,false,false,4320,false,316.74,7772,172.238,11.0464,1
DIG455138222388404,1431561600000000,United States,Maple Heights,United States,North Chicopee,2214,L,Ground,false,false,4320,false,235.07,8150,132.0276,12.256,2
DIG455245236191336,1410393600000000,United States,Livingston,United States,Woonsocket,2349,M,Ground,false,false,4320,false,70.57,6469,49.8991,6.8768,2
DIG45518700039824,1414281600000000,United States,Newark,United States,Buffalo,173,S,Ground,false,false,4320,false,8.48,6516,16.8957,7.0272000000000006,1
DIG455147033591576,1377043200000000,United States,Kuna,United States,Detroit,11,L,Ground,false,false,4320,false,194.9,7195,109.9599,9.2000000000000011,1
DIG455370368431904,1311120000000000,United States,Aventura,United States,Amherst Center,2393,M,Ground,false,false,4320,false,41.58,5477,35.4437,3.7024000000000004,2
DIG45516116918384,1534204800000000,United States,Bella Vista,United States,Wheeling,1141,E,Ground,false,false,4320,false,0.78,8770,13.9169,14.24,1
DIG455351150968064,1292976000000000,United States,Seminole,United States,Redlands,2076,L,Ground,false,false,4320,false,119.35,8888,74.0434,14.617600000000001,2
DIG45550185531116,1423958400000000,United States,Novi,United States,Cleveland,1952,E,Ground,false,false,4320,false,0.1,6168,14.3068,5.9136000000000006,1
DIG455257561599272,1460073600000000,United States,Bartlett,United States,Vincennes,1533,M,Ground,false,false,4320,false,25.74,8301,26.7497,12.7392,1
DIG45529899230804,1352246400000000,United States,Independence,United States,Milton,677,L,Ground,false,false,4320,false,100.67,7056,63.4443,8.7552,1
DIG455389102660100,1516752000000000,United States,Kuna,United States,Pinewood,727,L,Ground,false,false,4320,false,163.41,7639,94.8593,10.620800000000001,1
DIG455498160567800,1308960000000000,United States,Derby,United States,Kent,1688,XL,Ground,false,false,4320,false,424.84,9828,226.4392,17.625600000000002,1
DIG45519886036448,1463011200000000,United States,Muskego,United States,Lodi,2139,S,Ground,false,false,4320,false,23.75,6645,26.3001,7.44,2
DIG455196858645296,1475625600000000,United States,Scarsdale,United States,Wallingford Center,2997,L,Ground,false,false,4320,false,191.95,5903,111.1723,5.0656,2
DIG45551315346848,1540857600000000,United States,Santa Barbara,United States,Chapel Hill,2118,M,Ground,false,false,4320,false,48.01,7668,38.4112,10.713600000000001,2
DIG45559890230396,1404691200000000,United States,North Bergen,United States,Alhambra,2190,M,Ground,false,false,4320,false,56.42,8960,42.681,14.848,2
DIG455107471247348,1282089600000000,United States,Arden-Arcade,United States,Union City,1912,E,Ground,false,false,4320,false,0.34,5619,14.3908,4.1568000000000005,1
DIG455258699012420,1445990400000000,United States,Holladay,United States,Urbana,1505,S,Ground,false,false,4320,false,7.39,9443,17.5495,16.3936,1
DIG45592043094704,1545696000000000,United States,Conway,United States,Severn,761,E,Ground,false,false,4320,false,0.54,7784,13.4549,11.084800000000001,1
DIG455197683964592,1337990400000000,United States,Mount Vernon,United States,Oak Grove,720,M,Ground,false,false,4320,false,69.43,9333,47.863,16.041600000000003,1
DIG455106530567288,1284854400000000,United States,Bellevue,United States,Flint,2492,M,Ground,false,false,4320,false,79.94,6335,54.7128,6.448,2
DIG45539541951164,1336435200000000,United States,Canoga Park,United States,Wasco,1591,S,Ground,false,false,4320,false,8.36,7126,18.1119,8.9792,1
DIG455272319779784,1470787200000000,United States,Buenaventura Lakes,United States,Ridgewood,1861,XXL,Ground,false,false,4320,false,661.88,7261,345.1149,9.4112000000000009,1
DIG455408070009008,1440028800000000,Philippines,San Antonio,Philippines,Baybay,1073,E,Ground,false,false,4320,false,0.2,10166,13.5657,18.7072,1
DIG455229945991772,1359244800000000,United States,Morgan Hill,United States,Ozark,817,L,Ground,false,false,4320,false,220.25,6882,123.3603,8.1984000000000012,1
DIG455126828063792,1370304000000000,United States,Snellville,United States,West Saint Paul,685,E,Ground,false,false,4320,false,0.96,5412,13.5965,3.4944,1
DIG4556134713488,1417132800000000,United States,Gary,United States,Syracuse,1946,XL,Ground,false,false,4320,false,425.71,7593,227.1064,10.473600000000001,1
DIG45598979735444,1272240000000000,United States,Makakilo,United States,New Bedford,1249,S,Ground,false,false,4320,false,12.42,6821,19.8341,8.0032,1
DIG455128211793164,1541635200000000,United States,Jefferson City,United States,West Bloomfield Township,1413,E,Ground,false,false,4320,false,0.13,6422,13.8367,6.7264,1
DIG455250697533848,1263772800000000,United States,Rosemont,United States,Whitney,2111,L,Ground,false,false,4320,false,200.7,9909,114.7499,17.884800000000002,2
